fold_id,period,test_start,test_end,prophet_MAE,prophet_RMSE,hybrid_MAE,hybrid_RMSE,n_test
186,BASELINE,2025-07-22,2025-07-22,47.862409853528945,47.862409853528945,27.426327013563125,27.426327013563125,1
187,BASELINE,2025-07-29,2025-07-29,43.72878652347268,43.72878652347268,25.769941384922873,25.769941384922873,1
188,BASELINE,2025-08-05,2025-08-05,87.26681154961915,87.26681154961915,56.18420809502931,56.18420809502931,1
189,BASELINE,2025-08-12,2025-08-12,53.66577281547988,53.66577281547988,20.30449046684707,20.30449046684707,1
190,BASELINE,2025-08-19,2025-08-19,78.69453889392425,78.69453889392425,39.65699845813323,39.65699845813323,1
191,BASELINE,2025-08-26,2025-08-26,70.2101173924856,70.2101173924856,24.549617819731694,24.549617819731694,1
192,BASELINE,2025-09-02,2025-09-02,36.33736006411469,36.33736006411469,1.9812351861850033,1.9812351861850033,1
193,BASELINE,2025-09-09,2025-09-09,6.249687854423996,6.249687854423996,32.74010914959001,32.74010914959001,1
194,BASELINE,2025-09-16,2025-09-16,96.40484045504559,96.40484045504559,45.8843860483073,45.8843860483073,1
195,BASELINE,2025-09-23,2025-09-23,1.7625090120429974,1.7625090120429974,6.605052328289034,6.605052328289034,1
196,BASELINE,2025-09-30,2025-09-30,34.58902672813744,34.58902672813744,41.85048035667748,41.85048035667748,1
197,BASELINE,2025-10-07,2025-10-07,48.16325913493921,48.16325913493921,62.942820177724855,62.942820177724855,1
198,BASELINE,2025-10-14,2025-10-14,70.45043492995684,70.45043492995684,49.08405996047442,49.08405996047442,1
199,BASELINE,2025-10-21,2025-10-21,16.356235637667496,16.356235637667496,14.187407388689834,14.187407388689834,1
200,BASELINE,2025-10-28,2025-10-28,11.136918804965362,11.136918804965362,6.014364459194795,6.014364459194795,1
201,BASELINE,2025-11-04,2025-11-04,7.676930800445561,7.676930800445561,2.039409533508305,2.039409533508305,1
202,BASELINE,2025-11-11,2025-11-11,5.190130102001163,5.190130102001163,22.96736921135333,22.96736921135333,1
