fold_id,period,test_start,test_end,chronos_MAE,chronos_RMSE,naive_MAE,naive_RMSE,n_test
155,BASELINE,2024-12-17,2024-12-17,6.5353838094075485,6.5353838094075485,37.63,37.63,1
156,BASELINE,2024-12-24,2024-12-24,33.96226318359375,33.96226318359375,43.387499999999996,43.387499999999996,1
157,BASELINE,2024-12-31,2024-12-31,37.13359161376953,37.13359161376953,16.053333333333335,16.053333333333335,1
158,BASELINE,2025-01-07,2025-01-07,9.465915730794272,9.465915730794272,33.126666666666665,33.126666666666665,1
159,BASELINE,2025-01-14,2025-01-14,1.4032641601562545,1.4032641601562545,2.3841666666666868,2.3841666666666868,1
160,BASELINE,2025-01-21,2025-01-21,36.64671630859377,36.64671630859377,62.9016666666667,62.9016666666667,1
161,BASELINE,2025-01-28,2025-01-28,12.6981946818034,12.6981946818034,46.20083333333334,46.20083333333334,1
162,BASELINE,2025-02-04,2025-02-04,8.775140991210947,8.775140991210947,12.091666666666669,12.091666666666669,1
163,BASELINE,2025-02-11,2025-02-11,17.13211812337238,17.13211812337238,1.822499999999991,1.822499999999991,1
164,BASELINE,2025-02-18,2025-02-18,21.941107584635432,21.941107584635432,20.960416666666674,20.960416666666674,1
165,BASELINE,2025-02-25,2025-02-25,30.242898559570307,30.242898559570307,48.707499999999996,48.707499999999996,1
166,BASELINE,2025-03-04,2025-03-04,13.94364990234375,13.94364990234375,1.317083333333315,1.317083333333315,1
167,BASELINE,2025-03-11,2025-03-11,11.9831689453125,11.9831689453125,12.439999999999998,12.439999999999998,1
168,BASELINE,2025-03-18,2025-03-18,19.13211954752603,19.13211954752603,8.966249999999974,8.966249999999974,1
169,BASELINE,2025-03-25,2025-03-25,2.284112243652359,2.284112243652359,18.10333333333331,18.10333333333331,1
170,BASELINE,2025-04-01,2025-04-01,7.4775801595051945,7.4775801595051945,10.183333333333323,10.183333333333323,1
171,BASELINE,2025-04-08,2025-04-08,3.094379272460941,3.094379272460941,2.6137500000000102,2.6137500000000102,1
172,BASELINE,2025-04-15,2025-04-15,22.754071553548172,22.754071553548172,28.115416666666647,28.115416666666647,1
173,BASELINE,2025-04-22,2025-04-22,18.089715169270818,18.089715169270818,30.650416666666658,30.650416666666658,1
174,BASELINE,2025-04-29,2025-04-29,11.38337178548177,11.38337178548177,2.5462500000000006,2.5462500000000006,1
175,BASELINE,2025-05-06,2025-05-06,4.168666178385436,4.168666178385436,3.559166666666684,3.559166666666684,1
176,BASELINE,2025-05-13,2025-05-13,4.829636637369802,4.829636637369802,9.890833333333347,9.890833333333347,1
177,BASELINE,2025-05-20,2025-05-20,2.468315226236996,2.468315226236996,4.392083333333346,4.392083333333346,1
178,BASELINE,2025-05-27,2025-05-27,15.062073465983076,15.062073465983076,11.066666666666677,11.066666666666677,1
179,BASELINE,2025-06-03,2025-06-03,8.152437032063801,8.152437032063801,15.351249999999993,15.351249999999993,1
180,BASELINE,2025-06-10,2025-06-10,8.725007476806638,8.725007476806638,20.81125,20.81125,1
181,BASELINE,2025-06-17,2025-06-17,10.015948791503902,10.015948791503902,3.548333333333332,3.548333333333332,1
182,BASELINE,2025-06-24,2025-06-24,21.11252888997396,21.11252888997396,8.48166666666667,8.48166666666667,1
183,BASELINE,2025-07-01,2025-07-01,55.02180226643881,55.02180226643881,35.940833333333345,35.940833333333345,1
184,BASELINE,2025-07-08,2025-07-08,5.205761718749997,5.205761718749997,9.96083333333334,9.96083333333334,1
185,BASELINE,2025-07-15,2025-07-15,1.1961381022135384,1.1961381022135384,7.647083333333342,7.647083333333342,1
186,BASELINE,2025-07-22,2025-07-22,20.499591166178377,20.499591166178377,21.84916666666666,21.84916666666666,1
187,BASELINE,2025-07-29,2025-07-29,20.564399108886718,20.564399108886718,17.123333333333335,17.123333333333335,1
188,BASELINE,2025-08-05,2025-08-05,43.87240610758463,43.87240610758463,27.4075,27.4075,1
189,BASELINE,2025-08-12,2025-08-12,1.9480872599283856,1.9480872599283856,0.47458333333332803,0.47458333333332803,1
190,BASELINE,2025-08-19,2025-08-19,10.19425364176432,10.19425364176432,9.144166666666663,9.144166666666663,1
191,BASELINE,2025-08-26,2025-08-26,7.872250773111986,7.872250773111986,10.698750000000004,10.698750000000004,1
192,BASELINE,2025-09-02,2025-09-02,21.96947031656903,21.96947031656903,20.62666666666668,20.62666666666668,1
193,BASELINE,2025-09-09,2025-09-09,36.743039652506496,36.743039652506496,18.890833333333333,18.890833333333333,1
