fold_id,period,variable,coef,pvalue
49,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
50,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3490317678275427,4.167102610348274e-27
50,SHOCK_2022,d_DCOILBRENTEU_lag2,0.14535600682032263,0.7948054861060944
50,SHOCK_2022,d_gpr_daily_lag2,0.04700949405155052,0.18564041524246044
50,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
51,SHOCK_2022,d_ttf_eur_mwh_lag2,1.3768782347089936,3.086555970408987e-29
51,SHOCK_2022,d_DCOILBRENTEU_lag2,0.09375158124450902,0.8661651773133754
51,SHOCK_2022,d_gpr_daily_lag2,0.04889907014159151,0.17238893792120036
51,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,
52,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4948021200449253,4.496507397743634e-41
52,SHOCK_2022,d_DCOILBRENTEU_lag2,-0.06048589010191082,0.8962489292595213
52,SHOCK_2022,d_gpr_daily_lag2,0.03881840932568126,0.2843124126013473
52,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
53,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5066144932700376,1.0744582077295612e-41
53,SHOCK_2022,d_DCOILBRENTEU_lag2,0.022030002523537536,0.9616722212071984
53,SHOCK_2022,d_gpr_daily_lag2,0.0377080015559657,0.29469084234406584
53,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
54,SHOCK_2022,d_ttf_eur_mwh_lag2,1.51108065485723,2.8611808169351964e-42
54,SHOCK_2022,d_DCOILBRENTEU_lag2,0.004418642572698379,0.992296539389151
54,SHOCK_2022,d_gpr_daily_lag2,0.03753648732177438,0.29454228362097035
54,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
55,SHOCK_2022,d_ttf_eur_mwh_lag2,1.5258391179543616,4.514404115777108e-44
55,SHOCK_2022,d_DCOILBRENTEU_lag2,0.03590347134385697,0.9363642853670953
55,SHOCK_2022,d_gpr_daily_lag2,0.039198980006440884,0.2717010630569303
55,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
56,SHOCK_2022,d_ttf_eur_mwh_lag2,1.4959772628461125,1.1942137059623407e-41
56,SHOCK_2022,d_DCOILBRENTEU_lag2,0.03378341405867224,0.940769490914301
56,SHOCK_2022,d_gpr_daily_lag2,0.03968832334562415,0.26241449639105663
56,SHOCK_2022,d_guardian_sentiment_mean_lag2,0.0,1.0
57,SHOCK_2022,d_ttf_eur_mwh_lag2,1.49612713091629,3.8443971512400746e-42
