fold_id,period,residual_load_threshold,A_price_calendar_MAE,A_price_calendar_RMSE,B_plus_fundamentals_MAE,B_plus_fundamentals_RMSE,C_plus_hormuz_MAE,C_plus_hormuz_RMSE,D_plus_interactions_MAE,D_plus_interactions_RMSE
125,BASELINE,42250.04375,12.798923089400958,12.798923089400958,9.14200357601807,9.14200357601807,9.14200357601807,9.14200357601807,7.887940161597115,7.887940161597115
126,BASELINE,42186.603125,17.082275763757835,17.082275763757835,15.954873022022284,15.954873022022284,15.954873022022284,15.954873022022284,15.76079057080942,15.76079057080942
127,BASELINE,42151.24895833333,3.978304669446999,3.978304669446999,0.555289063272042,0.555289063272042,0.555289063272042,0.555289063272042,1.392634419261185,1.392634419261185
128,BASELINE,42051.209375,38.07013400894205,38.07013400894205,34.45512184863216,34.45512184863216,34.45512184863216,34.45512184863216,34.87055092269999,34.87055092269999
129,BASELINE,41995.835677083334,6.077416073387141,6.077416073387141,2.881830868635916,2.881830868635916,2.881830868635916,2.881830868635916,3.129670049053928,3.129670049053928
130,BASELINE,41931.887500000004,19.96556315413258,19.96556315413258,19.22768745605886,19.22768745605886,19.22768745605886,19.22768745605886,18.637664720643485,18.637664720643485
131,BASELINE,41833.722395833334,1.5355990520354226,1.5355990520354226,7.966518887510745,7.966518887510745,7.966518887510745,7.966518887510745,7.319409457851123,7.319409457851123
132,BASELINE,41739.17239583333,8.017170984470283,8.017170984470283,12.676292852092914,12.676292852092914,12.676292852092914,12.676292852092914,11.801713868379096,11.801713868379096
133,BASELINE,41668.49661458333,31.47026607835847,31.47026607835847,31.209479156753936,31.209479156753936,31.209479156753936,31.209479156753936,31.157339862650907,31.157339862650907
134,BASELINE,41575.769791666666,7.411923435021308,7.411923435021308,9.498960144387837,9.498960144387837,9.498960144387837,9.498960144387837,9.291034454920194,9.291034454920194
135,BASELINE,41531.80286458333,2.0128086690672973,2.0128086690672973,1.8523666570915651,1.8523666570915651,1.8523666570915651,1.8523666570915651,1.5906410293356714,1.5906410293356714
136,BASELINE,41481.65729166666,12.821188726632798,12.821188726632798,12.945646024869973,12.945646024869973,12.945646024869973,12.945646024869973,13.371857548954452,13.371857548954452
137,BASELINE,41361.48125,10.645213136484102,10.645213136484102,6.085183680913374,6.085183680913374,6.085183680913374,6.085183680913374,6.538686343330383,6.538686343330383
138,BASELINE,41343.79895833333,13.839337439134482,13.839337439134482,14.757919011029443,14.757919011029443,14.757919011029443,14.757919011029443,14.052607120433734,14.052607120433734
139,BASELINE,41331.55572916667,7.003065727773674,7.003065727773674,9.994144887625211,9.994144887625211,9.994144887625211,9.994144887625211,10.149029490002377,10.149029490002377
140,BASELINE,41306.05729166667,45.42498042265453,45.42498042265453,48.015592547428724,48.015592547428724,48.015592547428724,48.015592547428724,48.20767187001539,48.20767187001539
141,BASELINE,41267.90885416667,49.96182893842788,49.96182893842788,44.6412530797677,44.6412530797677,44.6412530797677,44.6412530797677,43.33041867445805,43.33041867445805
142,BASELINE,41254.401041666664,1.5261006493009575,1.5261006493009575,3.639587053145945,3.639587053145945,3.639587053145945,3.639587053145945,4.116239874693264,4.116239874693264
143,BASELINE,41220.76666666667,22.625881254198177,22.625881254198177,18.428107420232294,18.428107420232294,18.428107420232294,18.428107420232294,17.811291674999723,17.811291674999723
